DateTime,name,value
2019-01-01T01:00:00.0,gen-1244,-0.0
2019-01-01T00:00:00.0,gen-1807,1.0
2019-01-01T01:00:00.0,gen-1807,-0.0
2019-01-01T00:00:00.0,gen-956,1.0
2019-01-01T01:00:00.0,gen-956,-0.0
2019-01-01T00:00:00.0,gen-1683,1.0
2019-01-01T01:00:00.0,gen-1683,-0.0
2019-01-01T00:00:00.0,gen-954,1.0
2019-01-01T01:00:00.0,gen-954,-0.0
2019-01-01T00:00:00.0,gen-836,1.0
2019-01-01T01:00:00.0,gen-836,-0.0
2019-01-01T00:00:00.0,gen-950,1.0
2019-01-01T01:00:00.0,gen-950,-0.0
2019-01-01T00:00:00.0,gen-1399,1.0
2019-01-01T01:00:00.0,gen-1399,-0.0
2019-01-01T00:00:00.0,gen-480,1.0
2019-01-01T01:00:00.0,gen-480,-0.0
2019-01-01T00:00:00.0,gen-873,1.0
2019-01-01T01:00:00.0,gen-873,-0.0
2019-01-01T00:00:00.0,gen-2049,1.0
2019-01-01T01:00:00.0,gen-2049,-0.0
2019-01-01T00:00:00.0,gen-1035,1.0
2019-01-01T01:00:00.0,gen-1035,-0.0
2019-01-01T00:00:00.0,gen-1068,1.0
2019-01-01T01:00:00.0,gen-1068,-0.0
2019-01-01T00:00:00.0,gen-796,0.0
2019-01-01T01:00:00.0,gen-796,0.0
2019-01-01T00:00:00.0,gen-742,1.0
2019-01-01T01:00:00.0,gen-742,-0.0
2019-01-01T00:00:00.0,gen-2119,1.0
2019-01-01T01:00:00.0,gen-2119,-0.0
2019-01-01T00:00:00.0,gen-626,1.0
2019-01-01T01:00:00.0,gen-626,-0.0
2019-01-01T00:00:00.0,gen-224,1.0
2019-01-01T01:00:00.0,gen-224,-0.0
2019-01-01T00:00:00.0,gen-2087,1.0
2019-01-01T01:00:00.0,gen-2087,-0.0
2019-01-01T00:00:00.0,gen-1275,1.0
2019-01-01T01:00:00.0,gen-1275,-0.0
2019-01-01T00:00:00.0,gen-904,1.0
2019-01-01T01:00:00.0,gen-904,-0.0
2019-01-01T00:00:00.0,gen-242,1.0
2019-01-01T01:00:00.0,gen-242,-0.0
2019-01-01T00:00:00.0,gen-1484,1.0
2019-01-01T01:00:00.0,gen-1484,-0.0
2019-01-01T00:00:00.0,gen-952,1.0
2019-01-01T01:00:00.0,gen-952,-0.0
2019-01-01T00:00:00.0,gen-910,1.0
2019-01-01T01:00:00.0,gen-910,-0.0
2019-01-01T00:00:00.0,gen-818,1.0
2019-01-01T01:00:00.0,gen-818,-0.0
2019-01-01T00:00:00.0,gen-635,1.0
2019-01-01T01:00:00.0,gen-635,-0.0
2019-01-01T00:00:00.0,gen-1002,1.0
2019-01-01T01:00:00.0,gen-1002,-0.0
2019-01-01T00:00:00.0,gen-604,1.0
2019-01-01T01:00:00.0,gen-604,-0.0
2019-01-01T00:00:00.0,gen-1332,1.0
2019-01-01T01:00:00.0,gen-1332,-0.0
2019-01-01T00:00:00.0,gen-186,1.0
2019-01-01T01:00:00.0,gen-186,-0.0
2019-01-01T00:00:00.0,gen-741,1.0
2019-01-01T01:00:00.0,gen-741,-0.0
2019-01-01T00:00:00.0,gen-694,1.0
2019-01-01T01:00:00.0,gen-694,-0.0
2019-01-01T00:00:00.0,gen-1071,1.0
2019-01-01T01:00:00.0,gen-1071,-0.0
2019-01-01T00:00:00.0,gen-415,1.0
2019-01-01T01:00:00.0,gen-415,-0.0
2019-01-01T00:00:00.0,gen-1549,1.0
2019-01-01T01:00:00.0,gen-1549,-0.0
2019-01-01T00:00:00.0,gen-693,1.0
2019-01-01T01:00:00.0,gen-693,-0.0
2019-01-01T00:00:00.0,gen-930,1.0
2019-01-01T01:00:00.0,gen-930,-0.0
2019-01-01T00:00:00.0,gen-1767,1.0
